Agency,MMR Goal,Critical,Performance Indicator,FY13,FY14,FY15,FY16,FY17,TGT17,TGT18,5 Yr Trend,Desired Direction
TLC,1d, TRUE,Average time to conduct a safety and emissions inspection of a Boro Taxi (hours:minutes),NA,0:57,0:55,0:51,1:11,1:00,1:00,NA,Down
DOC,2b, TRUE,Inmates participating in skills-building activities/discharge planning (%),10.90%,10.30%,10.50%,8.70%,14.00%,10.00%,10.00%,Up,Up
HRA,5a, FALSE,Billed revenue as a percentage of budgeted revenue (%),71.90%,72.80%,74.20%,74.50%,72.00%,*,*,Neutral,Up
DCAS,7a, FALSE,Average cost of training per employee ($),$225,$215,$163,$112,$113,*,*,Down,*
DPR,3b, TRUE,New Yorkers living within walking distance of a park (%),NA,NA,79.40%,81.00%,81.50%,↑,↑,NA,Up
DOE,6a, FALSE,CORE facility rating,92,97,94,94,91,90,90,Neutral,Up
DCA,5a, FALSE,Completed customer requests for interpretation,"1,611","2,536","3,377","3,861","3,695",*,*,Up,*
BPL,NA, FALSE,Electronic visits to website (000),"11,098","10,748","11,391","11,161","10,567","11,719","10,675",Neutral,Up
CCHR,3a, FALSE,E-mails responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Neutral,Up
DEP,5a, FALSE,Asbestos complaints responded to within three hours (%),100%,100%,100%,100%,100%,90%,100%,Neutral,Up
DCAS,6b, TRUE,Fleet in-service rate citywide (%),91%,90%,90%,91%,92%,90%,91%,Neutral,Up
HPD,3a, FALSE,Asset management - Rental buildings in portfolio,"2,651","3,110","3,396","3,604","3,999",*,*,Up,*
DoITT,4a, FALSE,Violations admitted to or upheld at the Environmental Control Board (%),69%,69%,72%,65%,50%,*,*,Down,*
DYCD,2b, FALSE,"Youth who are out-of-school, attend a DYCD-funded training or employment program, and attain a degree or certificate by the end of the 3rd quarter after exiting the program (%)",66%,65%,68%,70%,NA,63%,*,NA,Up
SBS,1a, FALSE,Unique businesses served by NYC Business Solutions,"11,340","8,344","7,642","9,812","9,363",*,*,Down,Up
NYPL,NA, FALSE,New library card registrations,"355,034","366,357","483,103","277,641","315,137",*,*,Down,*
DOE,4a, FALSE,– Middle schools (%),13.00%,13.00%,24.50%,22.00%,NA,*,*,NA,Down
DEP,7a, FALSE,Visitors rating customer service at borough centers as good or better (%),90.80%,93.00%,93.00%,95.00%,93.00%,90.00%,90.00%,Neutral,Up
HRA,1b, FALSE,– SSI persons receiving SNAP benefits (000),275.9,271.3,265.6,263.1,262.8,*,*,Neutral,*
NYCHA,2c, TRUE,Utilization rate for Section 8 vouchers (%),93.90%,91.20%,88.10%,87.00%,85.00%,97.00%,97.00%,Neutral,Up
HPD,1a, FALSE,– Heat and hot water,"108,742","120,106","122,753","110,007","115,262",*,*,Neutral,*
HRA,1a, FALSE,Persons receiving emergency assistance (000),5.1,5.6,8.3,8.2,7.4,*,*,Up,*
HRA,5a, FALSE,"Cash assistance recoveries and cost avoidance for fraud, waste and abuse ($000,000)",$177.80,$180.70,$182.70,$171.00,$191.40,*,*,Neutral,Up
EDC,3a, FALSE,New York City unemployment rate (%),8.50%,8.20%,6.60%,4.90%,4.90%,*,*,Down,Down
DEP,7a, FALSE,Calls answered in 30 seconds (%),69%,79%,68%,73%,79%,76%,76%,Neutral,Up
DOT,7b, FALSE,Percent meeting time to close - Broken Muni Meter - No Receipt (14 days),47%,96%,98%,68%,92%,90%,90%,Up,*
NYPD,1c, FALSE,End-to-end average response time to critical crimes in progress (minutes:seconds),6:37,7:08,7:29,7:09,6:49,*,*,Neutral,Down
ACS,1e, FALSE,Children adopted,"1,310","1,101","1,004","1,052",899,*,*,Down,Up
DOI,3a, FALSE,CORE facility rating,93,93,98,98,100,*,*,Neutral,Up
NYPD,1a, FALSE,– Felonious assault,200,172,176,148,140,*,*,Down,Down
DCP,4a, FALSE,CORE customer experience rating (0 - 100),88,89,92,100,99,80,90,Up,Up
DOT,1b, FALSE,Post-audit inspections for completed street work,"302,689","329,664","292,453","374,075","375,133",*,*,Up,Up
DCAS,1d, TRUE,Average rating for professional development training sessions (%),88%,88%,88%,90%,90%,88%,88%,Neutral,Up
311,2a, FALSE,Completed requests for interpretation,"421,839","392,759","531,194","556,576","545,132",*,*,Up,*
DDC,1a, TRUE,– Completed early/on time: Public buildings (%),82%,76%,83%,85%,86%,82%,82%,Neutral,Up
DPR,2b, TRUE,Average time to close - Tree emergency service requests (days),10.4,21.2,17.1,22.7,37.2,↓,↓,Up,Down
NYCHA,2c, FALSE,Annual Section 8 inspections,84.40%,89.80%,88.90%,78.00%,80.00%,*,*,Neutral,Up
HPD,1b, TRUE,Emergency violations corrected by owner (%),53%,51%,53%,57%,55%,55%,55%,Neutral,Up
DOE,6a, FALSE,Completed requests for interpretation,"20,265","32,267","49,922","54,626","67,131",*,*,Up,*
SBS,1b, FALSE,Jobs created or retained by Energy Cost Savings Program,"4,122",361,"5,164","1,060","9,753",*,*,Up,*
NYPD,1b, FALSE,– Non-members,"66,186","17,588","26,152","48,607","49,477",*,*,Neutral,*
DOE,1a, FALSE,Students in grades 3 to 8 scoring below standards progressing into a higher level - English language arts (%),7.70%,28.00%,29.50%,38.30%,34.70%,*,*,Up,Up
ACS,5a, FALSE,E-mails responded to in 14 days (%),95.60%,92.60%,89.70%,97.80%,97.30%,*,*,Neutral,Up
DORIS,1b, TRUE,Average response time to vital record requests (days),10.4,14,21.4,11.5,28,12,12,Up,Down
DFTA,1b, TRUE,Senior center utilization rate (%),86.00%,86.00%,85.00%,85.00%,81.00%,95.00%,95.00%,Neutral,Up
DOB,4b, FALSE,Percent meeting time to first action - General Construction/Plumbing - Failure to Maintain (60 days),77%,79%,81%,93%,80%,77%,77%,Up,*
DEP,6a, FALSE,Collisions involving City vehicles,296,301,337,380,413,*,*,Up,Down
HPD,1b, FALSE,– Buildings discharged from program (%) (cumulative),59%,64%,65%,64%,73%,*,*,Up,Up
DDC,1b, TRUE,Project inspections with at least one high-risk deviation (%),56.30%,72.70%,74.60%,69.10%,73.00%,↓,↓,Up,Down
DPR,6a, FALSE,Completed customer requests for interpretation,45,60,81,122,110,*,*,Up,*
DHS,3a, FALSE,– unsubsidized,NA,NA,413,318,280,*,*,NA,Up
DOT,2a, FALSE,– Bicyclists/pedestrians,168,172,159,152,148,*,*,Down,Down
DOE,1a, TRUE,Students in grades 3 to 8 meeting or exceeding standards - English language arts (%),26.40%,28.40%,30.40%,38.00%,40.60%,39.00%,42.60%,Up,Up
DoITT,1b, FALSE,Average time to resolve service incidents - Low (days),1.9,1.5,1.8,2.2,2,6,6,Up,Down
LPC,1a, TRUE,– Total number of buildings designated,"1,408",324,"2,013","1,411",224,*,*,Down,*
DCLA,1a, FALSE,Program organizations awarded CDF payments,888,881,883,889,933,*,*,Neutral,*
DOP,2a, FALSE,Juvenile supervision cases - end of period,"2,079","1,781","1,430","1,347","1,023",*,*,Down,*
DoITT,5a, FALSE,Citywide IT professional services contracts in use by agencies (%),46%,57%,37%,39%,49%,*,*,Down,*
DOC,1a, FALSE,Fight/assault infractions,"7,622","8,827","9,424","11,240","12,650",*,*,Up,Down
NYPD,1a, FALSE,Gun arrests,"5,581","4,776","4,776","5,194","5,081",*,*,Neutral,*
DCAS,5a, FALSE,Electricity purchased (kilowatt hours) (billions),4.2,4.3,4.3,4.2,4.3,*,*,Neutral,Down
HRA,1b, FALSE,Total SNAP households (000),"1,035.20",977.2,955.4,951.4,948.6,*,*,Neutral,*
DDC,1a, TRUE,– Completed early/on time: Public buildings (%),90%,87%,84%,87%,82%,88%,88%,Neutral,Up
DSNY,1a, TRUE,Sidewalks rated acceptably clean (%),96.10%,96.00%,95.50%,96.50%,97.30%,97.00%,97.00%,Neutral,Up
DOHMH,5a, TRUE,Average response time for death certificates by mail/online (days),5.2,1.9,1.7,2,1.5,3,3,Down,Down
DOE,4a, TRUE,– Fair to good condition (%),43.40%,43.80%,49.20%,50.50%,NA,↑,↑,NA,Up
DOT,1b, TRUE,Streets maintained with a pavement rating of - Good (%),69.60%,69.30%,70.00%,68.80%,69.80%,71.00%,71.00%,Neutral,Up
BOE,NA, FALSE,Eligible voters registered (%),NA,NA,NA,NA,NA,*,*,NA,Up
LPC,1a, FALSE,Archaeology applications reviewed within 10 business days (%),96%,98%,97%,95%,96%,85%,85%,Neutral,Up
HPD,5a, FALSE,Average customer in-person wait time (minutes),30,43,36,27,19,29,29,Down,Down
DOC,1a, FALSE,Average daily population - adolescent inmates,681,489,216,187,167,*,*,Down,Down
DOF,1a, FALSE,Increase in tax liability as a result of audits (%),13.60%,16.00%,18.30%,25.80%,25.90%,*,*,Up,Up
NYPD,2a, TRUE,Traffic fatalities (bicyclists/pedestrians),168,172,159,152,148,↓,↓,Down,Down
DoITT,5a, FALSE,Agencies’ task orders using citywide IT professional services contracts,810,"1,071",747,570,409,*,*,Down,*
DORIS,1a, FALSE,Walk-in and program attendees at the Visitor Center,"2,063","1,508","1,318","1,363","1,408",*,*,Down,Up
ACS,3a, TRUE,Abscond rate in non-secure detention (average per 100 total ADP in non-secure),0.05,0.08,0.05,0.03,0.08,0.03,0.05,Neutral,Down
DOC,1c, TRUE,– Average clinic waiting time (minutes),35,41,34,28,22,↓,↓,Down,Down
NYCHA,4a, FALSE,Customers rating service good or better (%) (As applicable),66.00%,70.00%,68.20%,78.80%,81.10%,71.00%,71.00%,Up,Up
DPR,4a, FALSE,Total attendance at non-recreation center programs,"528,980","503,919","1,076,194","934,404","1,240,492",*,*,Up,Up
HRA,1a, FALSE,Cash assistance application acceptance rate (%),NA,45.70%,50.90%,51.20%,52.60%,*,*,NA,*
OCME,1a, TRUE,Median time for scene arrivals by medicolegal investigators (MLIs) (hours),1.9,1.8,1.9,2.4,1.9,1.7,1.7,Up,Down
DOC,1a, TRUE,"Serious injury to staff as a result of inmate assault on staff (monthly rate per 1,000 ADP)",0.2,0.39,0.35,0.2,0.24,↓,↓,Down,Down
DEP,2a, FALSE,Sewer backup complaints resolved - Confirmed (on City infrastructure),"4,221","3,224","2,846","2,503","2,649",*,*,Down,Down
DCA,1b, FALSE,Total inspections,"74,029","73,035","65,506","76,996","75,951",*,*,Neutral,Up
DOE,1a, TRUE,– Grade 2,24.7,25.3,25.3,25.2,25.1,24.7,24.1,Neutral,Down
DOT,2a, TRUE,"Roadway safety markings installed (000,000) (linear feet)",27.1,28.4,45.2,45.2,45,50,50,Up,Up
BIC,1a, TRUE,Violations issued to illegally operating private waste haulers,248,155,339,183,297,*,*,Up,*
NYPD,6b, FALSE,Percent meeting time to close – Blocked Driveway - No Access (0.3 days),91,94,90,84,83,*,*,Down,*
SBS,3a, FALSE,"Value of AvenueNYC local development corporations funding ($000,000)",$1.50,$1.38,$1.38,$1.30,$1.16,*,*,Down,*
HPD,2a, FALSE,– Preservation completions,NA,"7,775","8,521","15,964","12,512","10,433","10,212",NA,*
HRA,2c, TRUE,Support cases with active orders receiving current payments (%),59.70%,58.80%,59.10%,59.70%,59.70%,↑,↑,Neutral,Up
BOE,NA, FALSE,Precision of unofficial election results (%),1.00%,1.80%,2.10%,1.80%,1.10%,*,*,Neutral,*
DEP,7a, FALSE,Letters responded to in 14 days (%),97%,97%,99%,99%,99%,95%,95%,Neutral,Up
DCAS,1b, TRUE,New hires - Black (%),38.70%,38.80%,40.80%,36.80%,41.60%,*,*,Neutral,*
ACS,2a, TRUE,Average other eligible children voucher enrollment,"15,107","12,689","11,801","12,659","13,245",*,*,Down,*
TLC,1a, FALSE,Active medallion taxis that are accessible,NA,553,572,876,"1,860",*,*,NA,Up
ACS,3a, TRUE,"Average daily cost per youth per day, detention ($)",$729,$773,"$1,065","$1,431","$1,684",*,*,Up,*
CUNY,NA, FALSE,Number of associate degrees awarded at community colleges,"11,328","11,678","12,724","13,529","14,108",*,*,Up,Up
DOE,1a, FALSE,Students passing required Regents examinations (%),70.40%,68.80%,70.10%,69.80%,NA,75.00%,75.00%,NA,Up
ACS,1b, FALSE,Children who received child welfare preventive services during the year (annual total),"43,455","44,456","47,001","46,207","43,157",*,*,Neutral,Up
DoITT,1c, TRUE,Projects completed on time (%),NA,NA,75%,71%,70%,↑,75%,NA,Up
DOT,1b, FALSE,– Local streets,"213,475","323,384","370,204","269,329","229,160",*,*,Neutral,*
HRA,1a, FALSE,Cash assistance applications (000),377.9,385.1,348.5,330.6,333.8,*,*,Down,*
NYPL-Research,NA, FALSE,Libraries open seven days per week (%),25%,25%,25%,25%,25%,25%,25%,Neutral,Up
CUNY,NA, FALSE,Total full-time equivalent enrollment (FTEs),"200,036","199,958","203,996","204,418","204,337",*,*,Neutral,*
HRA,6a, FALSE,Letters responded to in 14 days (%),77.80%,87.30%,80.50%,86.90%,93.60%,90%,90%,Up,Up
NYPD,1a, TRUE,– Forcible rape,"1,198","1,064","1,064","1,164","1,109",↓,↓,Neutral,Down
DCA,1b, TRUE,Licensing Law compliance rate (%),93%,93%,95%,95%,95%,93%,93%,Neutral,Up
311,1a, FALSE,Complaints about 311 per million calls,26,23,26,32,30,*,*,Up,Down
CUNY,NA, TRUE,Six-year systemwide graduation rate (%) - community college students in STEM disciplines,29.00%,29.50%,28.20%,28.70%,30.70%,30.00%,30.00%,Neutral,Up
NYCHA,4a, FALSE,Number of agency customers surveyed for overall customer satisfaction,"21,354","27,660","33,843","25,764","34,886",*,*,Up,Up
DEP,3a, TRUE,Wastewater treatment plant (WWTP) effluent meeting federal standards (%),99.50%,99.60%,99.50%,99.50%,99.80%,100.00%,100.00%,Neutral,Up
DORIS,2c, TRUE,Average time for Law Department to approve records disposal application (months),2.4,1.6,0.8,2.8,2.7,3,3,Up,Down
TLC,1c, FALSE,Administrative summonses issued to owners/agents/bases,NA,"5,398","13,120","15,146","16,603",*,*,NA,*
BIC,1b, TRUE,Average time to approve waste hauling applications (days) - Renewal,166,94,234,254,274,↓,↓,Up,Down
DOE,2b, TRUE,Students with disabilities in cohort graduating from high school in 4 years (%) (NYSED),37.50%,40.50%,41.10%,44.80%,NA,42.10%,46.80%,NA,Up
DCAS,8a, FALSE,Average wait time to speak with a customer service agent (minutes),1:15,1:09,1:00,1:39,1:28,*,*,Up,Down
HPD,5b, FALSE,Percent meeting time to close - Paint/Plaster - Ceiling (17 days),76%,74%,69%,74%,74%,71%,71%,Neutral,*
DHS,3a, FALSE,– unsubsidized,NA,NA,"3,693","2,929","3,134",*,*,NA,Up
DoITT,6a, FALSE,E-mails responded to in 14 days (%),96%,97%,95%,100%,100%,*,*,Neutral,Up
TLC,1d, FALSE,Average time to receive a new driver license from initial application (calendar days),NA,NA,NA,63.1,59.1,*,*,NA,Down
DSNY,5a, FALSE,Recycling collection cost per ton ($),$627,$692,$640,$629,NA,*,*,NA,*
DHS,3a, TRUE,Average length of stay for single adults in shelter (days),293,305,329,355,383,↓,↓,Up,Down
FDNY,2a, FALSE,Life-threatening medical emergency incidents,"450,423","461,339","526,904","570,594","563,594",*,*,Up,*
HRA,2a, TRUE,"HRA clients who obtained employment, and maintained employment or did not return to CA for 180 days (city fiscal year-to-date average) (%)",NA,74.50%,73.90%,73.30%,73.10%,80.00%,80.00%,NA,Up
DCAS,5b, FALSE,Cumulative Energy Efficiency Reports (EER) completed,188,258,403,544,608,*,*,Up,Up
SBS,2a, TRUE,Workforce1 systemwide job placements and promotions,"28,166","36,097","26,952","28,455","28,170","25,000","25,000",Neutral,Up
DCA,3a, FALSE,– Percent achieving measurable success (%),NA,NA,34.00%,40.00%,39.90%,*,*,NA,Up
DOT,1b, FALSE,– Completed street work that passed inspection (%),80%,75%,75%,77%,79%,*,*,Neutral,Up
DEP,2a, TRUE,Backlog of catch basin repairs (% of system),0.50%,0.30%,0.40%,0.70%,1.80%,1.00%,1.00%,Up,Down
NYCHA,4a, FALSE,Calls answered in 30 seconds (%),65.00%,68.00%,72.00%,64.00%,46.00%,*,*,Down,Up
DORIS,1a, FALSE,Records accessioned by Municipal Archives (cubic ft.),"14,834","3,920","2,738","1,049",797,*,*,Down,Up
NYCHA,3a, FALSE,Senior centers,37,33,32,15,14,*,*,Down,*
NYPD,1a, FALSE,– Burglary,81,53,51,33,37,*,*,Down,Down
NYPD,4a, FALSE,Total civilian complaints against members of the service,"5,455","5,573","4,165","4,711","4,215",*,*,Down,Down
DOP,2c, FALSE,Intel enforcement events,NA,NA,NA,"1,525","2,548",*,*,NA,*
BOE,NA, FALSE,Voter complaints regarding poll workers - service,146,253,213,243,394,*,*,Up,Down
DOT,1b, FALSE,– Street work rated satisfactory (%),77%,76%,75%,76%,78%,75%,75%,Neutral,Up
DPR,5a, FALSE,Collisions involving City vehicles,464,496,540,550,556,*,*,Up,Down
DOT,1b, FALSE,Pothole work orders,"43,972","54,667","60,809","50,085","49,687",*,*,Neutral,Down
CUNY,NA, TRUE,Three-year systemwide graduation rate (%) - CUNY Accelerated Study in Associate Programs (ASAP) students,55.50%,44.50%,57.10%,55.40%,57.60%,50.00%,50.00%,Up,Up
DOE,1a, TRUE,– Grade 4,25.5,25.9,26.1,26.1,26.1,25.6,25.1,Neutral,Down
HRA,3a, TRUE,Clients successfully diverted at PATH from entering a homeless shelter (%),NA,NA,NA,NA,13.40%,*,*,NA,*
CCHR,1a, TRUE,– Cases closed (%) - settlement,20%,26%,22%,27%,24%,23%,23%,Up,Up
DOHMH,6a, FALSE,Collisions involving City vehicles,23,32,29,28,28,*,*,Neutral,Down
NYCHA,2b, FALSE,Apartments vacated,4.50%,4.80%,3.90%,4.10%,3.90%,*,*,Down,*
ACS,2a, TRUE,EarlyLearn - Average center-based enrollment,"25,548","24,068","23,077","23,396","22,663","23,600","23,800",Down,Up
DCAS,5a, FALSE,– Steam (%),7.40%,8.10%,8.30%,7.00%,7.10%,*,*,Neutral,*
FDNY,3a, FALSE,"Firefighter injury rate (per 10,000 runs)",94.3,82.1,78.4,80.1,82.8,*,*,Down,Down
DOE,5a, FALSE,Teachers with 5 or more years teaching experience (%),75.80%,75.30%,71.20%,68.50%,66.90%,*,*,Down,*
DOB,2a, TRUE,Average time to respond to Priority A complaints (days),0.7,0.7,0.7,0.8,0.6,1,1,Neutral,Down
HPD,5a, FALSE,Letters responded to in 14 days (%),53%,49%,47%,53%,45%,52%,52%,Neutral,Up
DOE,1a, FALSE,Students in cohort dropping out from high school in 6 years (%) (NYSED),16.40%,15.20%,NA,NA,NA,*,*,NA,Down
NYPD,5a, FALSE,Payout ($000),"$120,676","$154,106","$202,654","$228,454","$259,423",*,*,Up,Down
DOF,2b, FALSE,– Online hearings,"221,295","412,478","404,322","414,625","443,506",*,*,Up,*
DEP,6a, FALSE,Workplace injuries reported,515,493,478,352,377,*,*,Down,Down
HRA,3a, FALSE,Low-income cases facing eviction and homelessness who were assisted with legal services in Housing Court,NA,NA,"8,900","11,837","16,702",*,*,NA,*
DPR,4b, FALSE,Volunteer turnout,"37,754","34,137","40,932","44,212","50,378",*,*,Up,Up
DOB,2b, FALSE,DOB violations issued,"65,189","82,753","65,215","61,393","89,430",*,*,Up,*
DOP,1a, FALSE,Juvenile investigation reports - on time completion (%),NA,77.00%,86.00%,81.00%,87.00%,*,*,NA,Up
DOT,1b, FALSE,Adopted highway miles that receive a service rating of good (%),99.40%,98.90%,94.30%,95.10%,100.00%,*,*,Neutral,Up
DOT,3a, FALSE,– Ridership (000),"21,399","21,068","21,911","23,067","23,920",*,*,Up,Up
DOF,4a, FALSE,Cases closed,NA,NA,NA,156,311,*,*,NA,*
FDNY,1a, FALSE,Fire safety education presentations,"8,184","8,612","9,497","9,876","9,295",*,*,Up,*
DOP,2a, TRUE,Average monthly violation rate for juvenile probationers (%),2.70%,3.00%,2.70%,3.00%,3.50%,3.00%,3.00%,Up,Down
QPL,NA, FALSE,Reference queries (000),"4,360","4,351","2,955","3,443","3,705","4,000","4,200",Down,Up
HPD,4a, FALSE,– Vouchers issued,"1,404","1,138","2,960","2,999","2,334",*,*,Up,Up
DPR,1a, TRUE,Safety surfaces rated acceptable (%),93%,94%,95%,95%,94%,95%,95%,Neutral,Up
DOC,1b, FALSE,Incidents of use of force - adolescent inmates,715,624,378,594,531,*,*,Down,Down
DoITT,1a, FALSE,800 MHz network transmissions (000),"2,866.00","3,621.70","2,935.70","3,187.20","2,816.10",*,*,Neutral,*
DoITT,1b, TRUE,Average time to resolve all service incidents (days),1.8,1.2,1.3,1.6,1.5,3,3,Neutral,Down
DDC,1a, FALSE,Construction projects completed,117,122,125,135,129,104,103,Up,*
DoITT,1b, FALSE,Average time to resolve service incidents - High (days),1.4,0.5,0.4,0.8,0.7,0.2,0.2,Down,Down
DOP,2a, TRUE,Adult probationers arrested citywide as a percentage of the NYPD arrest report (monthly average),2.80%,2.90%,3.10%,3.30%,3.30%,2.60%,2.60%,Up,Down
CUNY,NA, TRUE,Enrollment in STEM disciplines at CUNY community colleges,"12,819","13,452","14,446","14,698","15,053","15,000","15,000",Up,Up
ACS,3a, FALSE,Discharges from Close to Home placement (dispositional order complete),NA,222,260,227,182,*,*,NA,*
HRA,1b, FALSE,– SSI households receiving SNAP benefits (000),252.7,249.2,244.2,242.1,242.2,*,*,Neutral,*
TLC,1c, FALSE,Patrol summonses issued to drivers,NA,"24,921","33,714","39,833","34,725",*,*,NA,*
ACS,3c, TRUE,Youth admitted to detention with previous admission(s) to detention (%),60.50%,60.90%,63.30%,61.00%,64.00%,*,*,Neutral,*
QPL,NA, TRUE,Total library attendance (000),"11,888","11,191","11,287","11,247","11,223","12,000","12,360",Neutral,Up
FDNY,1a, TRUE,Hazard complaints resolved within one day (%),65%,59%,79%,85%,87%,85%,85%,Up,Up
BPL,NA, FALSE,Active library cards (000),681,761,696,630,646,*,*,Down,*
FDNY,1b, FALSE,Total fire company runs,"983,615","1,054,752","1,138,509","1,175,114","1,164,940",*,*,Up,*
DORIS,2c, FALSE,Total records disposed by City government entities (cubic ft.),NA,NA,NA,"59,232","117,247",*,*,NA,Up
DOB,1a, FALSE,Building permits issued - Renewals,"41,230","44,538","44,774","52,244","56,183",*,*,Up,*
NYCEM,2a, FALSE,Ready New York webpage views,NA,NA,"15,443","81,570","42,674",*,*,NA,*
HRA,6a, FALSE,E-mails responded to in 14 days (%),95.50%,96.20%,93.50%,92.90%,93.20%,90%,90%,Neutral,Up
HPD,1a, FALSE,– Emergency complaints closed,"364,049","363,995","346,603","339,524","334,143",*,*,Neutral,*
ACS,3b, TRUE,"General health care cost per youth per day, detention ($)",$60,$62,$80,$121,$163,*,*,Up,*
DOT,7b, FALSE,Percent meeting time to first action - Street Light Condition - Street Light Out (10 days),99%,93%,99%,98%,98%,98%,98%,Neutral,*
NYCHH,1a, FALSE,Adult patients discharged with a principal psychiatry diagnosis who are readmitted within 30 days (%),6.50%,7.40%,7.40%,6.80%,7.10%,8.50%,8.50%,Neutral,Down
HPD,5a, FALSE,Completed customer requests for interpretation,"1,611","1,053","1,526","1,202",969,*,*,Down,*
TLC,1b, FALSE,For-hire vehicle (FHV) safety and emissions inspections conducted at TLC facility,"39,634","40,498","47,176","49,949","69,390",*,*,Up,*
HRA,1a, FALSE,Persons receiving recurring assistance (000),352,331.3,351.7,361.4,356.9,*,*,Neutral,*
DOB,2c, FALSE,– Construction-related accidents,173,207,314,500,611,*,*,Up,Down
HPD,5b, FALSE,Percent meeting time to close - Heating (5 days),84%,83%,82%,82%,88%,78%,78%,Neutral,*
DCA,1b, TRUE,Inspected stores complying with tobacco regulations (%),91%,92%,92%,93%,89%,90%,90%,Neutral,Up
DoITT,1b, FALSE,Average time to resolve service incidents - Medium (days),1.4,1,1,1.2,1.2,3,3,Down,Down
NYPD,1c, FALSE,End-to-end average response time to non-critical crimes in progress (minutes:seconds),15:58,15:03,16:17,17:21,17:58,*,*,Up,Down
CCHR,1a, TRUE,Cases filed,522,497,697,908,806,*,*,Up,*
DOI,1b, TRUE,Average time to complete an investigation (days),163,160,193,145,152,180,180,Neutral,Down
LAW,3a, FALSE,Filing of enforcement referrals within 60 days of referral (%),95%,94%,94%,95%,96%,85%,85%,Neutral,Up
DPR,2b, TRUE,Total public service requests received - Forestry,"120,791","77,727","85,214","90,217","74,247",*,*,Down,*
FDNY,3a, FALSE,Average time from inspection request until inspection (days) - Fire alarm inspections,32,32,32,45,60,*,*,Up,Down
NYPD,1c, FALSE,Average response time to serious crimes in progress (dispatch and travel time only) (minutes),6.5,6.8,8.2,8.1,6.8,*,*,Up,Down
NYPD,1a, TRUE,School safety - Major felony crime,699,654,614,532,504,↓,↓,Down,Down
TLC,1b, FALSE,Boro Taxi safety and emissions inspections conducted,NA,"11,202","20,024","20,676","17,002",*,*,NA,*
FDNY,4a, FALSE,E-mails responded to in 14 days (%),85%,97%,37%,54%,48%,*,*,Down,Up
DOHMH,3c, FALSE,Initial pest control inspections (000),95,94,97,98,146,*,*,Up,*
CCRB,1b, TRUE,Average mediation case completion time (days),284,225,170,93,99,120,120,Down,Down
OATH,2a, FALSE,OATH Hearings by Phone (% of total remote hearings),11.90%,11.60%,13.80%,16.70%,15.50%,*,*,Up,*
DPR,1a, TRUE,Recreation centers rated acceptable for cleanliness (%),100%,98%,100%,100%,99%,93%,95%,Neutral,Up
DCAS,5b, TRUE,Cumulative estimated reduction in greenhouse gas emissions from all energy projects (metric tons),"11,846","19,739","60,723","75,182","119,015","79,451","170,823",Up,Up
SBS,1b, FALSE,Value of Lower Manhattan Energy Program savings for active commercial tenants (cumulative) ($000),"$17,418","$14,546","$12,433","$10,028","$7,905",*,*,Down,*
DYCD,4a, FALSE,Value of agency contracts ($000),"$275,789","$328,301","$478,784","$548,747","$585,339",*,*,Up,*
HRA,5a, FALSE,Applications filed with the United States Citizenship and Immigration Services,NA,NA,"1,548","1,415","2,477",*,*,NA,*
DDC,2a, FALSE,E-mails responded to in 14 days (%),91%,94%,95%,86%,90%,90%,90%,Neutral,Up
DOF,2a, FALSE,Parking tickets issued that are dismissed within 90 days (%),14.10%,13.70%,13.20%,12.90%,12.60%,*,*,Down,Down
FDNY,1a, FALSE,Completed risk-based inspections performed by uniformed personnel,NA,"42,603","43,537","41,671","43,619",*,*,NA,*
DPR,3a, FALSE,Capital projects completed within budget (%),77%,78%,86%,88%,87%,85%,85%,Up,Up
NYCHH,1b, TRUE,Number of unique patients,"1,169,326","1,176,275","1,172,405","1,168,663","1,133,984",↑,↑,Neutral,Up
DEP,2a, FALSE,Water main breaks,406,513,563,397,424,*,*,Neutral,Down
DYCD,1a, FALSE,Beacon programs' enrollment as a percentage of the minimum annual target (%),156%,110%,110%,100%,100%,100%,100%,Down,Up
TLC,1d, FALSE,– New licenses issued,"17,764","19,991","34,981","29,870","35,764",*,*,Up,*
DHS,3a, FALSE,– subsidized,NA,NA,"3,085","3,885","3,770",*,*,NA,Up
DoITT,1b, FALSE,Average time to resolve service incidents - Critical (days),0.8,0.7,0.7,0.4,0.4,0.1,0.1,Down,Down
DOC,1a, FALSE,Jail-based arrests of inmates,798,995,795,"1,538","1,126",*,*,Up,Down
BPL,NA, FALSE,Computers for public use,"1,413","1,436","1,436","1,633","1,772","1,673","2,600",Up,Up
LAW,1c, TRUE,Cases pending in federal court,"1,711","1,659","1,652","1,649","1,363","1,700","1,400",Down,Down
CCRB,3a, FALSE,CORE facility rating,81,100,98,100,98,*,*,Up,Up
NYCHA,3a, TRUE,Initial social service tenant contacts conducted within five days of referral (%),64%,68%,80%,86%,72%,76%,76%,Up,Up
ACS,2a, FALSE,EarlyLearn - Fiscal Year Spending per Child based on Average Enrollment in Contract Centers,"$14,568","$14,302","$15,598","$16,754","$19,755",*,*,Up,*
LAW,2a, FALSE,Crime victims referred for community-based services (%),36%,46%,50%,53%,46%,40%,40%,Up,Up
LAW,1a, TRUE,Total cases commenced against the City,"9,528","9,045","9,922","9,507","8,141",*,*,Neutral,*
